,Gender,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
0,F,Baker,Bakery,Massachusetts,Stores,32.02881569,6.018478474,36.57730606,Stores
1,M,Baker,Bakery,Connecticut,Stores,40.32090167,5.532444578,30.16507231,Stores
2,M,Baker,Bakery,New Mexico,Stores,48.82204661,4.389973118,83.80779766,Stores
3,F,Baker,Bakery,Nevada,Stores,44.59935722,3.081735738,70.02016505,Stores
5,M,Baker,Bakery,Arkansas,Stores,48.44031059,2.717692452,81.83007916,Stores
6,M,Accounting Clerk,Accounting,Nevada,FinanceAndAccounting,50.75273,10.157918,60.49507152,HeadOffice
7,M,Baker,Bakery,South Dakota,Stores,36.2160312,4.432122862,30.07290192,Stores
8,M,Baker,Bakery,Vermont,Stores,58.42738025,6.940120524,181.630819,Stores
9,M,Accounting Clerk,Accounting,Delaware,FinanceAndAccounting,39.85398,13.848321,30.66440832,HeadOffice
10,M,Baker,Bakery,Oklahoma,Stores,46.54758052,4.872038321,28.01835332,Stores
12,F,Baker,Bakery,Washington,Stores,30.78519091,4.583328091,34.33444296,Stores
14,M,Accounting Clerk,Accounting,New Hampshire,FinanceAndAccounting,42.79789,19.107198,21.65982312,HeadOffice
16,F,Baker,Bakery,Colorado,Stores,41.85581217,2.559053659,55.09983109,Stores
17,F,Baker,Bakery,New Jersey,Stores,51.00873723,5.30277286,81.59554037,Stores
18,F,Accounting Clerk,Accounting,Maryland,FinanceAndAccounting,36.91041,11.22628,94.66856131,HeadOffice
19,M,Baker,Bakery,Arkansas,Stores,57.90324297,3.300303735,108.3801763,Stores
21,F,Accounting Clerk,Accounting,Minnesota,FinanceAndAccounting,49.51672,6.5335,67.74078948,HeadOffice
22,F,Baker,Bakery,Colorado,Stores,60.5955091,4.465036581,158.7045089,Stores
24,F,Baker,Bakery,Minnesota,Stores,35.87338778,3.101925634,48.0170507,Stores
25,M,Baker,Bakery,Delaware,Stores,41.93560641,4.557230329,42.78802656,Stores
26,M,Baker,Bakery,Nebraska,Stores,35.49790596,5.174673648,34.52427221,Stores
27,M,Accounting Clerk,Accounting,Connecticut,FinanceAndAccounting,40.02887,12.185467,59.88316464,HeadOffice
28,M,Baker,Bakery,Kentucky,Stores,49.75658466,4.313617694,100.6740987,Stores
29,M,Baker,Bakery,Colorado,Stores,38.11173232,3.493533521,9.522523814,Stores
30,F,Accounting Clerk,Accounting,Michigan,FinanceAndAccounting,42.8715,19.006436,38.88332344,HeadOffice
31,M,Baker,Bakery,Virginia,Stores,49.94274462,5.775266268,129.8357633,Stores
32,M,Baker,Bakery,Oklahoma,Stores,77.0,3.203849714,44.2731088,Stores
35,F,Baker,Bakery,Rhode Island,Stores,51.56495808,4.641869886,75.25704812,Stores
36,F,Baker,Bakery,Georgia,Stores,40.41201341,6.192268184,58.97153025,Stores
37,M,Baker,Bakery,Maine,Stores,52.44651862,4.29126449,134.6683839,Stores
39,F,Baker,Bakery,Utah,Stores,44.60660014,4.862142071,78.34173929,Stores
40,M,Baker,Bakery,New Jersey,Stores,67.08801208,2.183958352,168.9957664,Stores
41,F,Baker,Bakery,New Hampshire,Stores,41.25328235,2.018782807,56.21994065,Stores
42,M,Baker,Bakery,Texas,Stores,62.05182058,5.473604647,152.6467667,Stores
44,F,Baker,Bakery,Kentucky,Stores,49.90577748,5.357402979,80.24254043,Stores
45,M,Accounting Clerk,Accounting,Utah,FinanceAndAccounting,50.07982,1.0,78.7532824,HeadOffice
47,F,Baker,Bakery,Hawaii,Stores,51.60595642,3.9855896,88.91127783,Stores
48,M,Accounting Clerk,Accounting,Hawaii,FinanceAndAccounting,38.678832,20.678832,21.38553248,HeadOffice
49,M,Baker,Bakery,Hawaii,Stores,30.29765034,7.560140987,3.737100223,Stores
50,M,Baker,Bakery,Louisiana,Stores,43.68608721,0.385746182,38.06658377,Stores
51,M,Baker,Bakery,Texas,Stores,50.04741662,5.702536846,116.2269635,Stores
54,F,Baker,Bakery,Oregon,Stores,50.01054543,3.653801673,77.13030678,Stores
56,M,Baker,Bakery,Maine,Stores,42.62840469,4.124606978,24.79287091,Stores
57,M,Baker,Bakery,Tennessee,Stores,54.04930086,4.060790515,121.4480075,Stores
58,M,Baker,Bakery,Hawaii,Stores,43.91047001,4.197598793,59.7836809,Stores
59,M,Baker,Bakery,Pennsylvania,Stores,42.59140213,5.101161761,55.62426288,Stores
62,M,Baker,Bakery,Kentucky,Stores,43.26243975,5.843569409,55.05895104,Stores
63,F,Baker,Bakery,Virginia,Stores,35.61924833,3.679095448,44.6346054,Stores
64,M,Baker,Bakery,New Hampshire,Stores,39.26200269,5.748053523,42.45739254,Stores
67,F,Baker,Bakery,West Virginia,Stores,46.94959435,2.024655355,107.7955005,Stores
68,M,Accounts Payable Clerk,Accounts Payable,South Carolina,FinanceAndAccounting,44.10973,12.305714,78.84098352,HeadOffice
69,M,Baker,Bakery,Ohio,Stores,52.78875734,4.589520028,110.1543068,Stores
70,F,Baker,Bakery,New Jersey,Stores,35.63044266,3.947661015,33.93440994,Stores
71,M,Baker,Bakery,Colorado,Stores,42.4342557,3.387128544,28.60483097,Stores
72,F,Baker,Bakery,New York,Stores,40.96753752,3.285283682,44.9874293,Stores
73,F,Baker,Bakery,Delaware,Stores,46.77086356,1.991692074,126.5011301,Stores
74,F,Baker,Bakery,South Carolina,Stores,45.3008103,5.567973876,19.6191458,Stores
76,M,Accounts Payable Clerk,Accounts Payable,Virginia,FinanceAndAccounting,35.4939,8.348239,44.97411152,HeadOffice
77,F,Baker,Bakery,Michigan,Stores,41.66134173,4.711743887,45.95478779,Stores
78,F,Baker,Bakery,Indiana,Stores,43.5118766,1.778630937,83.3173005,Stores
79,F,Baker,Bakery,Missouri,Stores,54.00481868,2.870591513,136.3424045,Stores
80,M,Baker,Bakery,Massachusetts,Stores,46.22423463,4.416249838,53.3120259,Stores
81,F,Baker,Bakery,North Dakota,Stores,47.65733071,4.252453434,96.6132406,Stores
82,F,Baker,Bakery,New Mexico,Stores,51.99137493,2.964089468,140.9111414,Stores
83,M,Baker,Bakery,Nebraska,Stores,33.3683369,2.301876593,31.69229831,Stores
84,M,Baker,Bakery,Massachusetts,Stores,47.6040848,4.149329545,12.68410865,Stores
85,M,Accounts Payable Clerk,Accounts Payable,South Dakota,FinanceAndAccounting,34.6622,13.828331,54.30033232,HeadOffice
87,F,Baker,Bakery,Massachusetts,Stores,45.47882196,6.837239767,103.3493697,Stores
89,F,Baker,Bakery,Maine,Stores,37.74242382,3.569517999,49.84641191,Stores
90,F,Accounts Payable Clerk,Accounts Payable,Virginia,FinanceAndAccounting,40.49192,1.223785,58.28770605,HeadOffice
91,M,Baker,Bakery,Michigan,Stores,48.62992513,5.534431308,110.8124796,Stores
92,F,Baker,Bakery,Kentucky,Stores,52.18642804,5.333357014,158.6843997,Stores
93,F,Baker,Bakery,Oregon,Stores,37.91257982,4.677505826,73.47603875,Stores
94,M,Baker,Bakery,Delaware,Stores,29.40947244,4.853084899,2.187241945,Stores
95,F,Baker,Bakery,Texas,Stores,51.17022316,4.954787053,99.80856689,Stores
96,F,Baker,Bakery,Maryland,Stores,39.46457145,1.914256944,34.77626973,Stores
98,F,Baker,Bakery,Rhode Island,Stores,46.54737692,7.40795942,81.7411048,Stores
99,F,Baker,Bakery,Hawaii,Stores,39.23785234,5.28876626,51.75805976,Stores
100,F,Baker,Bakery,Alaska,Stores,49.02908732,2.992767917,121.0074252,Stores
101,F,Accounts Payable Clerk,Accounts Payable,Kentucky,FinanceAndAccounting,43.74006,16.587192,48.37309828,HeadOffice
102,M,Baker,Bakery,Tennessee,Stores,55.82635616,2.020945438,137.4598877,Stores
103,F,Baker,Bakery,South Carolina,Stores,44.00105092,4.03442867,98.5576777,Stores
105,F,Baker,Bakery,Virginia,Stores,46.08440537,4.834791047,44.00185941,Stores
107,F,Baker,Bakery,Maine,Stores,37.38317605,4.934654158,39.10172396,Stores
108,F,Baker,Bakery,Idaho,Stores,50.43589901,5.505354659,138.9330403,Stores
109,M,Baker,Bakery,Kansas,Stores,46.58616386,4.74303968,63.03007856,Stores
110,M,Baker,Bakery,Oregon,Stores,50.28113997,5.319611026,98.3228922,Stores
